request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01kj0q0tnzfx7vj8d3400phqbn,1771698154175,200,0.20166,0.256065,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,521,521,0,0,11
req_01kj0q0tj0eyer1ty7safs6xaa,1771698154048,200,0.091735,0.100487,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,81,81,0,0,2
req_01kj0q0hvkey28v7k9vrmst9gy,1771698145139,200,0.186256,0.209514,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,242,242,0,0,16
req_01kj0q0gt9fwv9ntvy9edgb2jc,1771698144073,200,0.202109,0.238689,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,531,531,0,0,14
req_01kj0q0gkheqqr6463e1rk06fn,1771698143857,200,0.178157,0.186972,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,82,82,0,0,2
req_01kj0q03e1fwa8w0jddxr89pax,1771698130369,200,0.154508,0.1822,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,574,574,0,0,6
req_01kj0q03aaexnrary19jzh9d6e,1771698130250,200,0.080119,0.088166,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,85,85,0,0,2
req_01kj0pzk7fepnv3zhdd11yefde,1771698113775,200,0.219957,0.246918,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,610,610,0,0,5
req_01kj0pzk0pepnschh4eykq1qtg,1771698113558,200,0.178981,0.189954,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,81,81,0,0,2
req_01kj0pj19bemdaxs0e3hvkqbmq,1771697669419,200,0.194458,0.225987,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,246,246,0,0,16
req_01kj0pj00zf6zsnwamhmh8zcdn,1771697668127,200,0.243328,0.317548,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,1315,1315,0,0,22
req_01kj0phy4nesta3t16ge7vqbyq,1771697666197,200,0.095695,0.125729,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,86,86,0,0,6
req_01kj0nqhe0faxtsbtckh0hefm1,1771696801216,200,0.125325,0.378279,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,452,452,0,0,84
req_01kj0myt49e52r13mbc0w24dpr,1771695990921,200,0.030228,0.054093,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,270,270,0,0,19
req_01kj0myt0ffa5rqajkk77wyfm4,1771695990799,200,0.025308,0.047257,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,275,275,0,0,16
req_01kj0mysv0es78vhf0fh02m7et,1771695990624,200,0.061143,0.10387,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,272,272,0,0,18
req_01kj0mysk8fextw3dyqmpcqpyg,1771695990376,200,0.073594,0.097401,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,270,270,0,0,16
req_01kj0mysc4f5gtph3efjx31223,1771695990148,200,0.081423,0.104158,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,272,272,0,0,18
req_01kj0mrq8ae54a75m2nekjg0s6,1771695791370,200,0.189375,0.417562,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,707,707,0,0,66
req_01kj0mrq1nfsc8mdsfky2f02wf,1771695791157,200,0.179394,0.187416,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,88,88,0,0,2
req_01kj0mpphcezdt93sw1ww8x6x1,1771695725100,200,0.193007,0.215162,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,241,241,0,0,16
req_01kj0mpnaqfparwgaj3j7g6w74,1771695723863,200,0.209297,0.412712,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,635,635,0,0,55
req_01kj0mpn3xe1tbr2q00c25g3nx,1771695723645,200,0.183727,0.19105,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,81,81,0,0,2
req_01kj0mp115fn28kd9mey9373fg,1771695703077,200,0.110644,0.400114,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,635,635,0,0,51
req_01kj0mp0xffn2btjqh7qcn6d9v,1771695702959,200,0.085663,0.092771,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,83,83,0,0,2
req_01kj0mmxtwfe6se508batn3sew,1771695667036,200,0.206105,0.468796,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,580,580,0,0,49
req_01kj0mmxpqenvt2bcbfhst2fga,1771695666903,200,0.095242,0.103302,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,84,84,0,0,2
req_01kj0mm5zse2zb37we86g29nbh,1771695642617,200,0.188039,0.212354,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,242,242,0,0,16
req_01kj0mm3zye2xt7cw2m1a8skyr,1771695640574,200,0.202428,0.381402,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,512,512,0,0,44
req_01kj0mm3rze2xrqrfwgmv08nvz,1771695640351,200,0.182996,0.192432,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,82,82,0,0,2
req_01kj0mjhs3exdssejd7msmbw78,1771695589156,200,0.211161,0.389098,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,589,589,0,0,42
req_01kj0mjhhzew7apfhy20trd36b,1771695588927,200,0.184875,0.192607,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,82,82,0,0,2
req_01kj0m5ccyfk3t49c4468f7vtp,1771695157662,200,0.096523,0.268145,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,501,501,0,0,30
req_01kj0kf4kcfc39mvr40fmn9k0q,1771694428780,200,0.018213,0.032201,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,31,31,0,0,10
req_01kj0kf3ref96bc8wbjnpk8gyg,1771694427918,200,0.075697,0.213511,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,501,501,0,0,34
req_01kj0hjjp2f3ganhb1bv55t805,1771692444354,200,0.022561,0.171912,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,173,173,0,0,45
req_01kj0g7mq0fy6vhsyhfr453jm0,1771691037408,200,0.138798,0.150267,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,382,382,0,0,3
req_01kj0g7mewfz69a6n7nj5qx4t4,1771691037148,200,0.186992,0.204946,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,382,382,0,0,4
req_01kj0g7mb7fxj84kepp9xcsyt4,1771691037031,200,0.044974,0.062622,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,384,384,0,0,5
req_01kj0g7m62fv3abpnwaf9k6yvp,1771691036866,200,0.083005,0.091585,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,381,381,0,0,3
req_01kj0g63dtepyavq4qx540vf23,1771690986938,200,0.050772,0.070809,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,87,87,0,0,5
req_01kj0g6375eh4snn3aww2cepnx,1771690986725,200,0.159105,0.159814,llama-3.3-70b-versatile,key_01khq7zxv8emdstpf7qejngq60,project_01kcqq8r2pf1pt2vv167gq4x05,84,84,0,0,2
